@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HIP 105897','F','V','Normal',9.62,5.2521,23.204,-40.475,-20.01,321.713162,-48.947435,10.02,?,?,8.872,8.729,8.669,?,190.4
'HIP 114967','K','V','High_Proper_Motion',9.04,16.5769,116.888,-217.781,7.99,349.283924,-45.677564,9.8,?,?,7.768,7.425,7.352,?,60.32
'HD 357946','K','V','High_Proper_Motion',9.57,2.1883,-64.737,-47.341,61.17,313.014537,-11.419526,10.62,?,?,7.705,7.138,7.026,?,456.98
'HD 254123','K','V','High_Proper_Motion',8.88,3.0894,56.212,-45.532,130.22,94.033168,21.698504,9.94,?,?,6.861,6.321,6.172,?,323.69
'HIP 60932','A','IV','Normal',9.07,2.5543,-10.032,-7.636,?,187.332857,-54.197857,9.26,?,?,8.651,8.655,8.58,?,391.5
'HD 244845','Unknown','V','Normal',10.47,0.7143,2.131,-2.971,-4.39,83.632066,31.731012,11.33,?,?,8.302,7.895,7.747,?,1399.97
'HD 26825','K','V','Normal',8.33,7.2003,-25.972,-12.143,-20.47,63.837277,18.986193,9.39,?,?,6.391,5.871,5.757,?,138.88
'HD 352196','G','V','Normal',9.05,2.3912,-10.033,-0.457,33.86,306.359629,20.652641,9.91,?,?,7.512,7.095,7.013,?,418.2
'HIP 77923','G','V','Normal',8.33,8.4011,-1.806,10.248,36.78,238.706384,-58.947973,8.9,?,?,7.24,6.958,6.937,?,119.03
'HD 150383','M','III','Normal',8.53,1.968,-9.143,-5.696,-51.21,250.457294,-27.105384,10.09,?,?,2.159,1.224,0.901,?,508.13
'HIP 85391','B','V','Normal',6.43,7.9484,-10.97,-28.324,-30.734699,261.730403,-25.943465,6.38,?,?,6.469,6.526,6.528,?,125.81
'HD 23079','F','V','High_Proper_Motion',7.11,29.8633,-192.838,-92.021,0.648,54.929567,-52.915838,7.68,?,?,6.03,5.814,5.705,?,33.49
'HIP 67690','K','III','Normal',8.36,2.4692,-15.373,-22.228,-24.73,207.997044,-46.182686,9.71,?,?,5.97,5.344,5.131,?,404.99
'HR 8079','K','I','Normal',3.73,2.8363,10.062,0.861,-19.1,316.23275,43.927853,5.39,?,?,0.982,0.027,-0.038,?,352.57
'HD 68203','A','V','Normal',9.7,1.7494,1.314,2.092,?,122.768571,-9.929307,9.92,?,?,9.327,9.231,9.163,?,571.62
'HIP 89772','K','III','Normal',5.412,21.5885,-44.903,2.414,-8.58,274.789738,7.259767,6.492,?,?,3.634,3.013,2.904,?,46.32
'HD 258891','A','III','Normal',10.46,1.9954,-8.077,-2.587,?,97.780906,3.762586,10.67,?,?,9.868,9.762,9.71,?,501.15
'HD 122173','F','V','Normal',10.07,5.1765,10.24,-9.205,-19.39,210.19352,-30.583569,10.62,?,?,8.895,8.653,8.573,?,193.18
'HR 1904','K','V','Normal',6.355,5.2972,14.887,5.189,28.68,84.440858,33.559168,7.649,?,?,4.351,3.663,3.527,?,188.78
'HR 7374','B','V','Normal',6.521,4.245,0.237,-5.87,-19.5,291.093915,28.08757,6.437,?,?,6.596,6.705,6.719,?,235.57
'HIP 19679','M','III','Normal',6.68,2.943,-6.733,-18.09,-46.44,63.243513,32.532727,8.39,?,?,3.459,2.649,?,?,339.79
'HD 257400','K','V','Normal',9.36,1.692,-3.7,-1.074,47.06,96.67892,5.3095,10.22,?,?,7.628,7.179,7.065,?,591.02
'HIP 62829','B','I','Normal',7.87,0.5073,-4.96,2.253,-9.0,193.127958,-52.667332,7.84,?,?,7.977,8.053,8.037,?,1971.22
'HIP 18584','A','V','Normal',8.99,3.1142,-4.707,-2.12,?,59.658705,61.832681,9.19,?,?,8.529,8.513,8.473,?,321.11
'HD 282325','F','V','Normal',10.32,3.3524,-1.389,-6.553,?,69.148526,30.515433,10.82,?,?,9.069,8.807,8.723,?,298.29
'HR 974','K','II','Normal',6.162,8.3224,14.917,-3.37,23.8,48.408106,-29.80413,7.209,?,?,4.393,3.765,3.782,?,120.16
'HIP 115706','K','III','Normal',8.2,2.6587,-0.565,-22.099,3.73,351.646455,-40.021314,9.71,?,?,5.632,4.945,4.734,?,376.12
'HD 274553','F','V','Normal',10.97,1.2503,2.676,5.959,-6.75,81.857942,-45.231748,11.32,?,?,10.102,9.887,9.862,?,799.81
